id,title,artist
276276,Prestige Cap (Ashetu),"Bamum Cameroon, Grasslands"
276275,Prestige Hat (Ntamp),"Bamum Cameroon, Grasslands"
276377,Hat (Laket Mishiing),Kuba Democratic Republic of the Congo
276372,Prestige Cap (Ashetu),Bamileke or Bamum Cameroon
276278,Pith Helmet,Baule Côte d'Ivoire
276378,Hat (Kalyeem),Kuba Democratic Republic of the Congo
100751,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan"
100753,Fall Meadow (Sample),"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) Woven by Jôtô Japan"
100752,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Bloomfield Hills"
100755,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Warren"
100754,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) Produced by Tai Ping China, Hong Kong"
100756,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) Produced by V'Soske (American, founded 1924) Puerto Rico"
100758,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Bloomfield Hills, Cranbrook Academy of Art"
100757,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) Produced by V'Soske (American, founded 1924) Puerto Rico"
100760,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States"
100759,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Bloomfield Hills, Cranbrook Academy of Art"
100762,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Bloomfield Hills"
100761,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Bloomfield Hills, Cranbrook Academy of Arts"
100764,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan"
100763,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States"
100766,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Bloomfield Hills, Cranbrook Academy of Art"
100765,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan"
100768,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) Woven by Jôtô Japan"
100767,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) Woven by Jôtô Japan"
100770,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) Woven by Jôtô Japan"
100769,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) Woven by Jôtô Japan"
100749,Rug Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States"
100774,Sample (Upholstery Fabric),"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Bloomfield Hills, Cranbrook Academy of Art"
100773,Woven Sample (Automobile Upholstery Fabric),"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) Woven by Chatham Manufacturing Company United States, North Carolina, Elkin"
100776,Sample (Upholstery Fabric),"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Bloomfield Hills, Cranbrook Academy of Art"
100775,Sample (Automobile Upholstery Fabric),"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) Woven by Chatham Manufacturing Company United States, North Carolina, Elkin"
100778,Sample (Upholstery Fabric),"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) Yarn spun by Darworth, Inc. United States, Connecticut, Simsbury"
100777,Sample (Automobile Upholstery Fabric),"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) Produced by Chatham Manufacturing Co. United States, North Carolina, Elkin"
100780,Sample (Automobile Upholstery Fabric),"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) Produced by Chatham Manufacturing Co. United States, North Carolina, Elkin"
100779,Sample (Automobile Upholstery Fabric),"Designed by Marianne Strengell Hammarström (Finnish, 1909-1998) Manufactured by Chatham Manufacturing Co. United States, North Carolina, Elkin"
100782,Sample (Upholstery Fabric),"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Bloomfield Hills, Cranbrook Academy of Art"
100781,Sample (Upholstery Fabric),"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Bloomfield Hills, Cranbrook Academy of Art"
100784,Woven Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States"
100783,Sample (Upholstery Fabric),"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Bloomfield Hills, Cranbrook Academy of Art"
100786,Woven Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States"
100785,Sample (Upholstery Fabric),"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Bloomfield Hills, Cranbrook Academy of Art"
100788,Woven Sample (Upholstery Fabric),"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Bloomfield Hills, Cranbrook Academy of Art"
100787,Sample (Upholstery Fabric),"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Bloomfield Hills, Cranbrook Academy of Art"
100790,Woven Sample,"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States"
100789,Sample (Upholstery Fabric),"Designed by Marianne Strengell Hammarström (Finnish, 1909–1998) United States, Michigan, Bloomfield Hills, Cranbrook Academy of Art"
221067,Shooting Star (Furnishing Fabric),"Marianne Strengell Hammarström (American, Born Finnish, 1909-1998) Produced by Knoll Associates Inc. United States, Michigan"
100792,Sample,"Marianne Strengell Hammarström (American, Born Finnish, 1909-1998) United States, Michigan"
279740,Plastron (Woman's Bodice),Turkmen Turkmenistan or Afghanistan
286196,Le Parc du Chateau (Valance),"Designed by Jean Baptiste Huet (French, 1745–1811) Manufactured by Christophe-Philippe Oberkampf (naturalized French, 1738-1815), Oberkampf Manufactory (French, 1760-1843) Jouy-en-Josas, France"
286195,Le Parc du Chateau (Bedspread),"Designed by Jean Baptiste Huet (French, 1745–1811) Manufactured by Christophe-Philippe Oberkampf (naturalized French, 1738-1815), Oberkampf Manufactory (French, 1760-1843) Jouy-en-Josas, France"
40952,The Large Woodcut,"Henri Matisse (French, 1869-1954) printed by August Clot (French, 1858-1936)"
31748,"Seated Female Nude, Holding One Knee, with Sketch of a Foot","Henri Matisse French, 1869-1954"
66916,"Standing Female Nude, Twisting toward Her Back","Henri Matisse French, 1869-1954"
66908,Standing Female Nude Seen from the Back,"Henri Matisse French, 1869-1954"
87045,Still Life with Geranium,"Henri Matisse French, 1869–1954"
151435,Nude in a Folding Chair,"Henri Matisse French, 1869-1954"
110717,Henri Matisse Etching,"Henri Matisse French, 1869-1954"
202386,The Seamstress,"Henri Matisse French, 1869–1954"
180675,Self-Portrait,"Henri Matisse French, 1869-1954"
2816,Interior at Nice,"Henri Matisse French, 1869–1954"
39271,Portrait of Léonide Massine,"Henri Matisse French, 1869-1954"
20347,Portrait of Elsa Glaser,"Henri Matisse French, 1869-1954"
66915,Female Nude Lying Facedown on a Table,"Henri Matisse French, 1869-1954"
41010,Girl in Plumed Hat (Mlle Antoinette),"Henri Matisse French, 1869-1954"
150815,Reclining Nude,"Henri Matisse French, 1869-1954"
122232,Laurette with a Cup of Coffee,"Henri Matisse French, 1869–1954"
180676,Young Girl with Long Hair (recto); Girl Reading (verso),"Henri Matisse French, 1869-1954"
7124,Seated Nude,"Henri Matisse French, 1869–1954"
27738,Nude with Blue Cushion Beside a Fireplace,"Henri Matisse French, 1869-1954"
23096,Seated Nude with Arms Raised,"Henri Matisse French, 1869-1954"
27980,Woman on Rose Divan,"Henri Matisse French, 1869–1954"
27741,Large Odalisque in Striped Pantaloons,"Henri Matisse French, 1869-1954"
54714,Odalisque Seated in Tulle Skirt,"Henri Matisse French, 1869-1954"
27984,Woman before an Aquarium,"Henri Matisse French, 1869–1954"
180677,Dancer Resting,"Henri Matisse French, 1869-1954"
110989,Young Woman with a Veil,"Henri Matisse French, 1869-1954"
201807,Still Life with Goldfish III,"Henri Matisse French, 1869-1954"
186307,Seated Dancer,"Henri Matisse French, 1869–1954"
202231,Still Life with Goldfish V,"Henri Matisse French, 1869-1954"
180678,Matisse's Dining Room-1941,"Henri Matisse French, 1869-1954"
230692,"Monsieur Loyal, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230691,"The Circus, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
230690,"The Clown, from Jazz","Henri Matisse (French, 1869–1954) printed by Edmond Vairel (French, 1903-1973) published by Tériade for Éditions Verve (French, 1943–1975)"
